algo,dist_m,expanded,graph,pair_id,path_len_nodes,reachable,relaxed,run_id,time_s,visited
dijkstra,3919.393124299232,438,piscataway_new_jersey_usa_drive.graphml,14,34,True,498,0,0.004304099944420159,462
astar,3919.393124299232,114,piscataway_new_jersey_usa_drive.graphml,14,34,True,160,0,0.0013482000213116407,149
dijkstra,3919.393124299232,438,piscataway_new_jersey_usa_drive.graphml,14,34,True,498,1,0.004728699917905033,462
astar,3919.393124299232,114,piscataway_new_jersey_usa_drive.graphml,14,34,True,160,1,0.0015577999874949455,149
dijkstra,3919.393124299232,438,piscataway_new_jersey_usa_drive.graphml,14,34,True,498,2,0.004703499958850443,462
astar,3919.393124299232,114,piscataway_new_jersey_usa_drive.graphml,14,34,True,160,2,0.0013492999132722616,149
dijkstra,7528.579991630249,1363,piscataway_new_jersey_usa_drive.graphml,15,60,True,1585,0,0.013083799974992871,1406
astar,7528.579991630249,295,piscataway_new_jersey_usa_drive.graphml,15,60,True,423,0,0.0048810000298544765,372
dijkstra,7528.579991630249,1363,piscataway_new_jersey_usa_drive.graphml,15,60,True,1585,1,0.012942699948325753,1406
astar,7528.579991630249,295,piscataway_new_jersey_usa_drive.graphml,15,60,True,423,1,0.003774499986320734,372
dijkstra,7528.579991630249,1363,piscataway_new_jersey_usa_drive.graphml,15,60,True,1585,2,0.012444000109098852,1406
astar,7528.579991630249,295,piscataway_new_jersey_usa_drive.graphml,15,60,True,423,2,0.0036346999695524573,372
dijkstra,10280.217215003107,1878,piscataway_new_jersey_usa_drive.graphml,16,52,True,2129,0,0.017256799968890846,1890
astar,10280.217215003107,923,piscataway_new_jersey_usa_drive.graphml,16,52,True,1138,0,0.01375959999859333,992
dijkstra,10280.217215003107,1878,piscataway_new_jersey_usa_drive.graphml,16,52,True,2129,1,0.024904999998398125,1890
astar,10280.217215003107,923,piscataway_new_jersey_usa_drive.graphml,16,52,True,1138,1,0.012051800033077598,992
dijkstra,10280.217215003107,1878,piscataway_new_jersey_usa_drive.graphml,16,52,True,2129,2,0.02530410001054406,1890
astar,10280.217215003107,923,piscataway_new_jersey_usa_drive.graphml,16,52,True,1138,2,0.01396110001951456,992
dijkstra,6595.022247306212,1781,piscataway_new_jersey_usa_drive.graphml,17,55,True,2023,0,0.017074899980798364,1798
astar,6595.022247306212,289,piscataway_new_jersey_usa_drive.graphml,17,55,True,421,0,0.003670899895951152,359
dijkstra,6595.022247306212,1781,piscataway_new_jersey_usa_drive.graphml,17,55,True,2023,1,0.01629639999009669,1798
astar,6595.022247306212,289,piscataway_new_jersey_usa_drive.graphml,17,55,True,421,1,0.004144200007431209,359
dijkstra,6595.022247306212,1781,piscataway_new_jersey_usa_drive.graphml,17,55,True,2023,2,0.016142600099556148,1798
astar,6595.022247306212,289,piscataway_new_jersey_usa_drive.graphml,17,55,True,421,2,0.0032361000776290894,359
dijkstra,3382.5477556449396,361,piscataway_new_jersey_usa_drive.graphml,18,29,True,418,0,0.0027194999856874347,382
astar,3382.5477556449396,174,piscataway_new_jersey_usa_drive.graphml,18,29,True,220,0,0.0016374000115320086,202
dijkstra,3382.5477556449396,361,piscataway_new_jersey_usa_drive.graphml,18,29,True,418,1,0.0026579999830573797,382
astar,3382.5477556449396,174,piscataway_new_jersey_usa_drive.graphml,18,29,True,220,1,0.002050000010058284,202
dijkstra,3382.5477556449396,361,piscataway_new_jersey_usa_drive.graphml,18,29,True,418,2,0.0032809999538585544,382
